제작품,만드는 작업대 수,가장 빠른 작업대,1개당 작업량(최고 속도),전체 작업대(1개당 작업량),key
도축,3,전기 도축 작업대,123,"전기 도축 작업대(123), 도축 작업대(391), 간이 도축 장소(391)",R:ButcherCorpseFlesh
독니,1,기계 작업대,2609,기계 작업대(2609),T:VenomFangs
독성 폐기물,1,태양 용광로,14,태양 용광로(14),T:Wastepack
독성정화 신장,1,조립 작업대,4522,조립 작업대(4522),T:DetoxifierKidney
독성정화 폐,1,조립 작업대,4522,조립 작업대(4522),T:DetoxifierLung
독소 등짐,1,기계 작업대,626,기계 작업대(626),T:Apparel_PackTox
독소 수류탄,1,기계 작업대,4174,기계 작업대(4174),T:Weapon_GrenadeTox
독소탄,1,기계 작업대,139,기계 작업대(139),T:Shell_Toxic
독소폭탄 발사기,1,기계 작업대,5217,기계 작업대(5217),T:Gun_ToxbombLauncher
독약,1,약물 연구대,429,약물 연구대(429),T:PoisonPill_DP2Unofficial
돌격 사격 통제 칩,1,CMC 주조 가공대,472,CMC 주조 가공대(472),T:CMC_Accessory_AdvancedScope
돌격소총,1,기계 작업대,6957,기계 작업대(6957),T:Gun_AssaultRifle
동물 사체에서 생체공학 부위 적출,1,부검 테이블,2000,부검 테이블(2000),R:AutopsyAnimal
두건,2,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143)",T:Apparel_HatHood
드라고니안 가죽 (드라고니안 프리무스),1,약물 연구대,5,약물 연구대(5),T:Leather_Dragonian_DP2Unofficial
드라고니안 강선 부싯돌총,1,기계 작업대,2087,기계 작업대(2087),T:DRM_RifledFlintlock
드라고니안 공기포 지팡이,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff_Air
드라고니안 공포 지팡이,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff_Fear
드라고니안 기본드레스,2,전기 재봉 작업대,487,"전기 재봉 작업대(487), 재봉 작업대(533)",T:DR_BasicDress
드라고니안 기본의류,2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_BasicWear
드라고니안 기본의류(남성),2,전기 재봉 작업대,487,"전기 재봉 작업대(487), 재봉 작업대(533)",T:DR_BasicWearMale
드라고니안 노예 눈가리개,2,전기 재봉 작업대,313,"전기 재봉 작업대(313), 재봉 작업대(343)",T:DR_SlaveBlindfold
드라고니안 노예옷,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_SlaveCloth
드라고니안 대검,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_Battlesword
드라고니안 레버액션 산탄총,1,조립 작업대,27826,조립 작업대(27826),T:LeverAction_DP2Unofficial
드라고니안 리본의류,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_OpenDress
드라고니안 리볼버,1,기계 작업대,696,기계 작업대(696),T:DRM_Revolver
드라고니안 메이스,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleMace
드라고니안 무지개 수호보주,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:Dragonian_RainbowProtectionOrb_CD
드라고니안 미드오프 드레스,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_MidOff
드라고니안 바니 슈트,2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_bunny
드라고니안 보호막 고급 증폭기,1,조립 작업대,4522,조립 작업대(4522),T:ShieldDragonianOrb_AdvancedBooster
드라고니안 보호막 완충 모듈,1,조립 작업대,4522,조립 작업대(4522),T:ShieldDragonianOrb_BufferModule
드라고니안 보호막 적응 모듈,1,조립 작업대,4522,조립 작업대(4522),T:ShieldDragonianOrb_AdaptiveModule
드라고니안 보호막 증폭기,1,조립 작업대,4522,조립 작업대(4522),T:ShieldDragonianOrb_Booster
드라고니안 불사조 보주,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_PhoenixOrb
드라고니안 빔 산탄총,1,조립 작업대,55652,조립 작업대(55652),T:BeamShotgun_DP2Unofficial
드라고니안 빔 지팡이,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff_Beam
드라고니안 뿔 (드라고니안 프리무스),1,약물 연구대,76,약물 연구대(76),T:Dragonian_Horn_DP2Unofficial
드라고니안 사슬 창,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:DR_ChainSpear
드라고니안 산성 집속 창,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:DR_ClusterSpear_Acid
드라고니안 산성 투창기,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_GreatBow_Acid
드라고니안 생체철,1,전기로,11,전기로(11),T:InfusedBioferrite_DP2Unofficial
드라고니안 섬광 지팡이,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff_Flare
드라고니안 수호 보주,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_ProtectionOrb
드라고니안 시스루 드레스,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_Seethrough
드라고니안 아동드레스,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_AP_Child
드라고니안 아크 지팡이,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff_Arc
드라고니안 에너지 보호막,1,조립 작업대,2435,조립 작업대(2435),T:DR_EnergyShield_DP2Unofficial
드라고니안 엘텍스 드레스,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_PsychicDress
드라고니안 엘텍스 드레스(남성),2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_PsychicDressMale
드라고니안 엘텍스 스태프,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleStaff
드라고니안 엘텍스 헬름(양성),2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:DR_PsychicHelm
드라고니안 여름 드레스,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_SummerDress
드라고니안 옆트임 드레스,2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_SideDress
드라고니안 오프숄더 드레스,2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_OffshoulderDress
드라고니안 와이드 헷,2,전기 재봉 작업대,313,"전기 재봉 작업대(313), 재봉 작업대(343)",T:DR_Widehat
드라고니안 우주복 (드라고니안 프리무스),1,조립 작업대,17391,조립 작업대(17391),T:DR_EVA_Suit_DP2Unofficial
드라고니안 우주복 헬멧 (드라고니안 프리무스),1,조립 작업대,12522,조립 작업대(12522),T:DR_EVA_Helmet_DP2Unofficial
드라고니안 장검,2,전기 단조 작업대,1739,"전기 단조 작업대(1739), 단조 작업대(1739)",T:Dragonian_Longsword_CD
드라고니안 전쟁망치,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:Dragonian_Warhammer_CD
드라고니안 전투 드레스,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_BattleDress
드라고니안 전투 드레스 C,2,전기 재봉 작업대,2609,"전기 재봉 작업대(2609), 재봉 작업대(2857)",T:DRM_BattleDressC
드라고니안 전투 드레스(남성),2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_BattleDressMale
드라고니안 전투 바니 슈트,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_pwdbunny
드라고니안 전투 창,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:DR_BattleSpear
드라고니안 전투 토끼 귀,2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:DR_pwdbunnyear
드라고니안 전투 토끼 귀,2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:DR_pwdbunnyearW
드라고니안 전투 투구 C,2,전기 재봉 작업대,1522,"전기 재봉 작업대(1522), 재봉 작업대(1667)",T:DRM_BattleHelmC
드라고니안 전투 투구 D,2,전기 재봉 작업대,1522,"전기 재봉 작업대(1522), 재봉 작업대(1667)",T:DRM_BattleHelmD
드라고니안 전투 헬름(양성),2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:DR_BattleHelmA
드라고니안 전투 화이트 바니 슈트,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_pwdwhitebunny
드라고니안 중세 산탄총,1,조립 작업대,27826,조립 작업대(27826),T:Gun_DR_ShotgunMedieval_DP2Unofficial
드라고니안 집속 창,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:DR_ClusterSpear
드라고니안 타락한 보주,1,조립 작업대,1043,조립 작업대(1043),T:Dragonian_CorruptedOrb_CD
드라고니안 토끼 귀,2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_bunnyear
드라고니안 토끼 귀,2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_bunnyearW
드라고니안 톱,1,조립 작업대,27826,조립 작업대(27826),T:Saw_DP2Unofficial
드라고니안 투창기,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_GreatBow
드라고니안 팬티스타킹,2,전기 재봉 작업대,78,"전기 재봉 작업대(78), 재봉 작업대(86)",T:DR_Pantyhose
드라고니안 팬티스타킹 세트,2,전기 재봉 작업대,78,"전기 재봉 작업대(78), 재봉 작업대(86)",T:DR_PantyhoseP
드라고니안 폭발 사슬 창,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:DR_ChainSpear_Ex
드라고니안 폭발 철퇴,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:DR_BattleMace_explosive
드라고니안 프리무스 두꺼운 양말,1,기계 작업대,3478,기계 작업대(3478),T:DR_HeavySocks_DP2Unofficial
드라고니안 프리무스 일반 작업복,1,기계 작업대,3478,기계 작업대(3478),T:DR_Uniform_DP2Unofficial
드라고니안 프리무스 투사기,1,기계 작업대,3478,기계 작업대(3478),T:DR_Projector_DP2Unofficial
드라고니안 할버드,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:Dragonian_Halberd_CD
드라고니안 화이트 바니 슈트,2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_whitebunny
드라고니안 화이트 초콜릿,1,약물 연구대,8,약물 연구대(8),T:Chocolate_DP2Unofficial
드라고니안 황금 엘텍스 드레스,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:Dragonian_GoldenEltexDress_CD
드라고니안 황금 엘텍스 헬름,2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:Dragonian_GoldenEltexHelm_CD
드라고니안 황금 전투 드레스,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:Dragonian_GoldenBattleDress_CD
드라고니안 황금 전투 엘텍스 드레스,2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:Dragonian_GoldenBattleEltexDressMale_CD
드라고니안 황금 전투 헬름,2,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429)",T:Dragonian_GoldenBattleHelm_CD
드레스 A (드라고니안 프리무스),2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_GreekDress_DP2Unofficial
드레스 B (드라고니안 프리무스),2,전기 재봉 작업대,1130,"전기 재봉 작업대(1130), 재봉 작업대(1238)",T:DR_GreekHanZo_DP2Unofficial
드레스 C (드라고니안 프리무스),2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_GreekPriest_DP2Unofficial
드레스 D (드라고니안 프리무스),2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_GreekSexyDress_DP2Unofficial
드레스 E (드라고니안 프리무스),2,전기 재봉 작업대,1304,"전기 재봉 작업대(1304), 재봉 작업대(1429)",T:DR_GreekString_DP2Unofficial
드레스 F (드라고니안 프리무스),2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_JapaneseDress_DP2Unofficial
드레스 G (드라고니안 프리무스),2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_Onepiece_DP2Unofficial
드레스 H (드라고니안 프리무스),2,전기 재봉 작업대,1478,"전기 재봉 작업대(1478), 재봉 작업대(1619)",T:DR_EveningDress_DP2Unofficial
드레스 H (드라고니안 프리무스),2,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762)",T:DR_BattleDress_DP2Unofficial
드론 탑재 장구 I,1,밀리라 드론 인쇄기,2609,밀리라 드론 인쇄기(2609),T:MEXY_DroneCarrierApparel_TierOne
드론 탑재 장구 II,1,입자 구축기,20000,입자 구축기(20000),T:MEXY_DroneCarrierApparel_TierTwo
드론 탑재 장구 III,1,입자 구축기,30000,입자 구축기(30000),T:MEXY_DroneCarrierApparel_TierThree
드릴 팔,1,기계 작업대,2609,기계 작업대(2609),T:DrillArm
디-에스컬레이터 GL-52,1,태양 용광로,46429,태양 용광로(46429),T:PLAMilira_Escalator
디보션,2,밀리라 중력 직조기,21429,"밀리라 중력 직조기(21429), 태양 용광로(64286)",T:Milira_DevotionLMG
디아볼루스,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Diabolus
라이오네타,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Lionetta
락-C,1,약물 연구대,429,약물 연구대(429),T:LacC_DP2Unofficial
랜서,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Lancer
레버 레일건,2,밀리라 중력 직조기,4762,"밀리라 중력 직조기(4762), 태양 용광로(14286)",T:Milira_LeverRailgun
레이 SG 트라이던트,1,태양 용광로,32143,태양 용광로(32143),T:Milira_RaySG_Trident
레이드레이븐,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:Mech_Raidraven
레이저 부유 유닛 팩,2,밀리라 범용 작업대,2609,"밀리라 범용 작업대(2609), 밀리라 드론 인쇄기(2609)",T:PLAMilira_LaserPack
레이저포,1,태양 용광로,64286,태양 용광로(64286),T:PLAMilira_Laser_Cannon
로브,2,전기 재봉 작업대,870,"전기 재봉 작업대(870), 재봉 작업대(952)",T:Apparel_Robe
로켓탄,1,CMC 주조 가공대,4,CMC 주조 가공대(4),T:CMC_RocketShell
룩 I,1,밀리언 배양기,1800,밀리언 배양기(1800),T:Milian_Mechanoid_RookI
룩 II,1,밀리언 배양기,1800,밀리언 배양기(1800),T:Milian_Mechanoid_RookII
룩 대검,1,밀리라 범용 작업대,4565,밀리라 범용 작업대(4565),T:Milian_RookBladeII
룩 밀리언 모델 소생,1,밀리언 배양기,1800,밀리언 배양기(1800),R:Milira_ResurrectMilian_Rook
룩 편인도,1,밀리라 범용 작업대,3913,밀리라 범용 작업대(3913),T:Milian_RookBlade
룩스플룸 배열,1,태양 용광로,17857,태양 용광로(17857),T:MEXY_Luxplume_Array
룩스플룸 배열 시제품,1,밀리라 범용 작업대,2717,밀리라 범용 작업대(2717),T:MEXY_Luxplume_Array_Prototype
리노아,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Lenoire
리볼버,1,기계 작업대,696,기계 작업대(696),T:Gun_Revolver
리저너리,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Legionary
리프터,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:Mech_Lifter
린덴 차,4,전기 스토브,170,"전기 스토브(170), 스토브(170), 태양 조리대(296), 모닥불(348)",T:VV_LindenTea
린린,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Linlin
마나 정수,1,제련 작업대,20,제련 작업대(20),T:Isekai_ManaEssence
마스크,2,전기 재봉 작업대,139,"전기 재봉 작업대(139), 재봉 작업대(152)",T:Apparel_ClothMask
마요네즈,1,조미료 작업대,7,조미료 작업대(7),T:VCE_Mayo
마유미,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:Mech_Mayumi
마젤란,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_Magellan
망령 척추골,1,생체강 성형 작업대,2474,생체강 성형 작업대(2474),T:RevenantVertebrae
망토,2,전기 재봉 작업대,2783,"전기 재봉 작업대(2783), 재봉 작업대(3048)",T:Apparel_Cape
맥아즙,1,양조대,174,양조대(174),T:Wort
맨티스,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:NCL_Mech_Mantis
맹독 손톱,1,기계 작업대,2609,기계 작업대(2609),T:VenomTalon
맹독성 폐기물,2,전기 재활용 작업대,255,"전기 재활용 작업대(255), 재활용 작업대(311)",T:VRecyclingE_VolatileToxpack
머리싸개,2,전기 재봉 작업대,243,"전기 재봉 작업대(243), 재봉 작업대(267)",T:Apparel_Headwrap
메카 연산 칩,1,조립 작업대,696,조립 작업대(696),T:OP_CoprocessorMech
메카 연산 칩 (1단계),1,조립 작업대,696,조립 작업대(696),T:OP_CoprocessorMech_TierA
메카 연산 칩 (2단계),1,조립 작업대,696,조립 작업대(696),T:OP_CoprocessorMech_TierB
메카노이드 배양 연산기,1,기계 작업대,557,기계 작업대(557),T:MechFormfeeder
메카노이드와 드론 분쇄,1,간이 제작 장소,409,간이 제작 장소(409),R:SmashCorpseMechanoid
메카노이드와 드론 분해,3,대형 기계 작업대,48,"대형 기계 작업대(48), 기계 작업대(52), 밀리라 범용 작업대(65)",R:ButcherCorpseMechanoid
면역 증진기,1,조립 작업대,4522,조립 작업대(4522),T:Immunoenhancer
모노 싸이블레이드,2,밀리라 중력 직조기,20000,"밀리라 중력 직조기(20000), 태양 용광로(60000)",T:Milira_MonoPsyblade
모바일 앤트,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:NCL_Mech_Dinergate
모에로틀 간,2,전기 단조 작업대,3130,"전기 단조 작업대(3130), 단조 작업대(3130)",T:Axolotl_Mace
모에로틀 검,2,전기 단조 작업대,3130,"전기 단조 작업대(3130), 단조 작업대(3130)",T:Axolotl_Sword
모에로틀 격세 가면,2,전기 단조 작업대,3130,"전기 단조 작업대(3130), 단조 작업대(3130)",T:Axolotl_VeilOfWorldsApart
모에로틀 견암 외갑,4,전기 재봉 작업대,6261,"전기 재봉 작업대(6261), 재봉 작업대(6857), 모에로틀 기계 방직기(22500), 모에로틀 방직기(32727)",T:Axolotl_StonecladCloak
모에로틀 경운 외투,4,전기 재봉 작업대,5217,"전기 재봉 작업대(5217), 재봉 작업대(5714), 모에로틀 기계 방직기(18750), 모에로틀 방직기(27273)",T:Axolotl_LightCloudRobe
모에로틀 관모,4,전기 재봉 작업대,574,"전기 재봉 작업대(574), 재봉 작업대(629), 모에로틀 기계 방직기(2062), 모에로틀 방직기(3000)",T:Axolotl_BlackGauzeCap
모에로틀 구름 셔츠,4,전기 재봉 작업대,10435,"전기 재봉 작업대(10435), 재봉 작업대(11429), 모에로틀 기계 방직기(37500), 모에로틀 방직기(54545)",T:TAWM_Axolotl_QingFeng
모에로틀 구유 외투,4,전기 재봉 작업대,5217,"전기 재봉 작업대(5217), 재봉 작업대(5714), 모에로틀 기계 방직기(18750), 모에로틀 방직기(27273)",T:Axolotl_ScarletGarment
모에로틀 구혼번,2,전기 단조 작업대,8348,"전기 단조 작업대(8348), 단조 작업대(8348)",T:Axolotl_SoulreaperPennon
모에로틀 군왕관,4,전기 재봉 작업대,12522,"전기 재봉 작업대(12522), 재봉 작업대(13714), 모에로틀 기계 방직기(45000), 모에로틀 방직기(65455)",T:Axolotl_RegalPlumHeaddress
모에로틀 군왕복,4,전기 재봉 작업대,14609,"전기 재봉 작업대(14609), 재봉 작업대(16000), 모에로틀 기계 방직기(52500), 모에로틀 방직기(76364)",T:Axolotl_RegalPlumRobe
모에로틀 굴악 영의,4,전기 재봉 작업대,6261,"전기 재봉 작업대(6261), 재봉 작업대(6857), 모에로틀 기계 방직기(22500), 모에로틀 방직기(32727)",T:Axolotl_CragLotlQiGarment
모에로틀 귀족 바람막이,4,전기 재봉 작업대,3496,"전기 재봉 작업대(3496), 재봉 작업대(3829), 모에로틀 기계 방직기(12562), 모에로틀 방직기(18273)",T:Axolotl_SumptuousWindbreaker
모에로틀 금수 외투,4,전기 재봉 작업대,609,"전기 재봉 작업대(609), 재봉 작업대(667), 모에로틀 기계 방직기(2188), 모에로틀 방직기(3182)",T:Axolotl_SplendidCape
모에로틀 금수복,4,전기 재봉 작업대,2087,"전기 재봉 작업대(2087), 재봉 작업대(2286), 모에로틀 기계 방직기(7500), 모에로틀 방직기(10909)",T:Axolotl_SplendidDress
모에로틀 기린총,2,전기 단조 작업대,5217,"전기 단조 작업대(5217), 단조 작업대(5217)",T:Axolotl_PlatinumFirearm
모에로틀 꼬리구이,4,전기 스토브,11,"전기 스토브(11), 스토브(11), 태양 조리대(19), 모닥불(22)",T:CharredTail
모에로틀 꼬리파이,3,전기 스토브,319,"전기 스토브(319), 스토브(319), 태양 조리대(556)",T:Axolotl_StargazyPie
모에로틀 낙양궁,2,전기 단조 작업대,8348,"전기 단조 작업대(8348), 단조 작업대(8348)",T:Axolotl_FallingSunBow
모에로틀 날개 깃털 옷,4,전기 재봉 작업대,6087,"전기 재봉 작업대(6087), 재봉 작업대(6667), 모에로틀 기계 방직기(21875), 모에로틀 방직기(31818)",T:Axolotl_FeatherStarRobe
모에로틀 노예 구속구,4,전기 재봉 작업대,157,"전기 재봉 작업대(157), 재봉 작업대(171), 모에로틀 기계 방직기(562), 모에로틀 방직기(818)",T:Axolotl_SlaveAttire
모에로틀 노예 사슬,4,전기 재봉 작업대,104,"전기 재봉 작업대(104), 재봉 작업대(114), 모에로틀 기계 방직기(375), 모에로틀 방직기(545)",T:Axolotl_Necklace
모에로틀 농민복,4,전기 재봉 작업대,2087,"전기 재봉 작업대(2087), 재봉 작업대(2286), 모에로틀 기계 방직기(7500), 모에로틀 방직기(10909)",T:Axolotl_MoeLotlSuit
모에로틀 도철 가면,2,전기 단조 작업대,4174,"전기 단조 작업대(4174), 단조 작업대(4174)",T:Axolotl_All-DevouringMask
모에로틀 도철 전갑,4,전기 재봉 작업대,10435,"전기 재봉 작업대(10435), 재봉 작업대(11429), 모에로틀 기계 방직기(37500), 모에로틀 방직기(54545)",T:Axolotl_TaotieWarplate
모에로틀 도포,4,전기 재봉 작업대,4348,"전기 재봉 작업대(4348), 재봉 작업대(4762), 모에로틀 기계 방직기(15625), 모에로틀 방직기(22727)",T:Axolotl_TaoistRobe
모에로틀 도화 영의,4,전기 재봉 작업대,6261,"전기 재봉 작업대(6261), 재봉 작업대(6857), 모에로틀 기계 방직기(22500), 모에로틀 방직기(32727)",T:Axolotl_BlossomLotlQiGarment
모에로틀 동전검,2,전기 단조 작업대,6261,"전기 단조 작업대(6261), 단조 작업대(6261)",T:Axolotl_CopperCoinSword
모에로틀 두꺼운 목도리,4,전기 재봉 작업대,835,"전기 재봉 작업대(835), 재봉 작업대(914), 모에로틀 기계 방직기(3000), 모에로틀 방직기(4364)",T:Axolotl_CabledScarf
모에로틀 만월 비녀,4,전기 재봉 작업대,1252,"전기 재봉 작업대(1252), 재봉 작업대(1371), 모에로틀 기계 방직기(4500), 모에로틀 방직기(6545)",T:Axolotl_MoonHeaddress
모에로틀 망토,4,전기 재봉 작업대,10435,"전기 재봉 작업대(10435), 재봉 작업대(11429), 모에로틀 기계 방직기(37500), 모에로틀 방직기(54545)",T:Axolotl_Cape
모에로틀 메이드복,4,전기 재봉 작업대,835,"전기 재봉 작업대(835), 재봉 작업대(914), 모에로틀 기계 방직기(3000), 모에로틀 방직기(4364)",T:Axolotl_PandaServantAttire
모에로틀 모피 조끼,4,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143), 모에로틀 기계 방직기(3750), 모에로틀 방직기(5455)",T:Axolotl_FurShawl
모에로틀 묘묘 귀걸이,4,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143), 모에로틀 기계 방직기(3750), 모에로틀 방직기(5455)",T:Axolotl_PurrloinHairband
모에로틀 무지개 재킷 A,4,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143), 모에로틀 기계 방직기(3750), 모에로틀 방직기(5455)",T:Axolotl_NeonJacketA
모에로틀 무지개 재킷 B,4,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143), 모에로틀 기계 방직기(3750), 모에로틀 방직기(5455)",T:Axolotl_NeonJacketB
모에로틀 박묵 가면,2,전기 단조 작업대,1252,"전기 단조 작업대(1252), 단조 작업대(1252)",T:Axolotl_InkBlackMasks
모에로틀 박묵 영의,4,전기 재봉 작업대,6261,"전기 재봉 작업대(6261), 재봉 작업대(6857), 모에로틀 기계 방직기(22500), 모에로틀 방직기(32727)",T:Axolotl_InkBlackLotlQiGarment
모에로틀 박묵 철립,2,전기 단조 작업대,1252,"전기 단조 작업대(1252), 단조 작업대(1252)",T:Axolotl_InkBlackConicalBambooHat
모에로틀 반암극,2,전기 단조 작업대,13913,"전기 단조 작업대(13913), 단조 작업대(13913)",T:Axolotl_Rockforge_Halberd
모에로틀 밤 로브,4,전기 재봉 작업대,10435,"전기 재봉 작업대(10435), 재봉 작업대(11429), 모에로틀 기계 방직기(37500), 모에로틀 방직기(54545)",T:TAWM_Axolotl_MuLan
모에로틀 방한복,4,전기 재봉 작업대,626,"전기 재봉 작업대(626), 재봉 작업대(686), 모에로틀 기계 방직기(2250), 모에로틀 방직기(3273)",T:Axolotl_WarmWinterRobe
모에로틀 백룡 모자,4,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143), 모에로틀 기계 방직기(3750), 모에로틀 방직기(5455)",T:Axolotl_WhiteDragonHat
모에로틀 백룡 후드티,4,전기 재봉 작업대,3130,"전기 재봉 작업대(3130), 재봉 작업대(3429), 모에로틀 기계 방직기(11250), 모에로틀 방직기(16364)",T:Axolotl_WhiteDragonHoodie
모에로틀 백무상 모자,4,전기 재봉 작업대,939,"전기 재봉 작업대(939), 재봉 작업대(1029), 모에로틀 기계 방직기(3375), 모에로틀 방직기(4909)",T:Axolotl_WhiteImpermanenceHat
모에로틀 백무상 치마,4,전기 재봉 작업대,5565,"전기 재봉 작업대(5565), 재봉 작업대(6095), 모에로틀 기계 방직기(20000), 모에로틀 방직기(29091)",T:Axolotl_WhiteImpermanenceSkirt
모에로틀 백설 외투,4,전기 재봉 작업대,6261,"전기 재봉 작업대(6261), 재봉 작업대(6857), 모에로틀 기계 방직기(22500), 모에로틀 방직기(32727)",T:Axolotl_WhiteSnowRobe
