이름,defName,출처 모드,하부구조(중력선 바닥),제공 지형 조건,건설 비용,작업량,아름다움,청결,위에 덮기 가능,연구
사암 엇갈린 거친 혼합 타일,KS_StoneStaggeredRoughMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 엇갈린 타일,KS_StoneStaggeredSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 엇갈린 혼합 타일,KS_StoneStaggeredMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 원형 포장,KS_StoneCircularRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 육각 거친 타일,KS_StoneHexagonRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 육각 거친 혼합 타일,KS_StoneHexagonRoughMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 육각 타일,KS_StoneHexagonSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 육각 혼합 타일,KS_StoneHexagonMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 이중 마름모 타일,KS_StoneDoubleDiamondSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 20,2100,3,,예,stonecutting
사암 자갈 포장,KS_StoneGravelSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,400,0,,예,stonecutting
사암 직조 팔각 타일,KS_StoneBraidedOctagonSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 15,1500,2,,예,stonecutting
사암 질감 판석,KS_StoneSlabsTexturedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 20,2100,3,,예,stonecutting
사암 창살 타일,KS_StoneWindowpaneSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 20,2100,3,,예,stonecutting
사암 체크무늬 타일,KS_StoneChequeredSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 20,1500,3,,예,stonecutting
사암 판석,KS_StoneSlabsSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 팔각 사각 타일,KS_StoneOctasquareSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 헤링본 타일,KS_StoneHerringboneSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
샤토 파르케,KS_WoodChateau,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
석회암 가로 직조 타일,KS_HStoneBraidedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 10,1500,2,,예,stonecutting
석회암 거친 격자 타일,KS_StoneGridRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 거친 판석,KS_StoneSlabsRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 격자 타일,KS_StoneGridSimpleLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 격자 혼합 타일,KS_StoneSimpleMosaicLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1800,2,,예,stonecutting
석회암 교차 격자 거친 타일,KS_StoneCrosshatchRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 교차 격자 타일,KS_StoneCrosshatchLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 교차 격자 혼합 타일,KS_StoneCrosshatchMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 리본 포장,KS_StoneRibbonLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 모서리 직조 타일,KS_CStoneBraidedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 10,1500,2,,예,stonecutting
석회암 무작위 거친 타일,KS_StoneRandomRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 무작위 거친 혼합 타일,KS_StoneRandomRoughMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 무작위 길이 거친 타일,KS_StoneRandomLengthsRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 무작위 길이 거친 혼합 타일,KS_StoneRandomLengthsRoughMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 무작위 길이 타일,KS_StoneRandomLengthsLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 무작위 길이 혼합 타일,KS_StoneRandomLengthsMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 무작위 타일,KS_StoneRandomLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 무작위 혼합 타일,KS_StoneRandomMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 물고기 비늘 포장,KS_StoneFishScaleLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 바람개비 타일,KS_StonePinwheelLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 바스켓 위브 타일,KS_StoneBasketWeaveLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 세로 직조 타일,KS_VStoneBraidedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 10,1500,2,,예,stonecutting
석회암 소형 격자 혼합 타일,KS_StoneTinySimpleMosaicLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1800,1,,예,stonecutting
석회암 안쪽 모서리 직조 타일,KS_IStoneBraidedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 10,1500,2,,예,stonecutting
석회암 엇갈린 거친 타일,KS_StoneStaggeredRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 엇갈린 거친 혼합 타일,KS_StoneStaggeredRoughMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 엇갈린 타일,KS_StoneStaggeredLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 엇갈린 혼합 타일,KS_StoneStaggeredMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 원형 포장,KS_StoneCircularRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 육각 거친 타일,KS_StoneHexagonRoughLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 육각 거친 혼합 타일,KS_StoneHexagonRoughMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,500,0,,예,stonecutting
석회암 육각 타일,KS_StoneHexagonLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 육각 혼합 타일,KS_StoneHexagonMixedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 이중 마름모 타일,KS_StoneDoubleDiamondLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 20,2100,3,,예,stonecutting
석회암 자갈 포장,KS_StoneGravelLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 2,400,0,,예,stonecutting
석회암 직조 팔각 타일,KS_StoneBraidedOctagonLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 15,1500,2,,예,stonecutting
석회암 질감 판석,KS_StoneSlabsTexturedLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 20,2100,3,,예,stonecutting
석회암 창살 타일,KS_StoneWindowpaneLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 20,2100,3,,예,stonecutting
석회암 체크무늬 타일,KS_StoneChequeredLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 20,1500,3,,예,stonecutting
석회암 판석,KS_StoneSlabsLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 팔각 사각 타일,KS_StoneOctasquareLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
석회암 헤링본 타일,KS_StoneHerringboneLimestone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksLimestone 4,1100,1,,예,stonecutting
세로 띠 바닥,KS_WoodStripV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 브릭 본드 바닥,KS_WoodBrickBondV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 띠 바닥,KS_WoodThinStripV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 브릭 본드 바닥,KS_WoodThinBrickBondV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 판자 바닥,KS_WoodThinPlankV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 혼합 띠 바닥,KS_WoodThinStripMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 혼합 브릭 본드 바닥,KS_WoodThinBrickBondMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 얇은 혼합 판자 바닥,KS_WoodThinPlankMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 판자 바닥,KS_WoodPlankV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 혼합 띠 바닥,KS_WoodStripMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 혼합 브릭 본드 바닥,KS_WoodBrickBondMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
세로 혼합 판자 바닥,KS_WoodPlankMixedV,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 6,400,1,,예,
셰브런 파르케,KS_WoodChevron,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
쇼콜라 파르케,KS_WoodChocolateBar,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
에보라 파르케,KS_WoodEvora,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
은 격자,KS_MetalGrateSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 격자판,KS_MetalGratePanelSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 광택 판,KS_MetalPolishedSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 교차 돌기 판,KS_MetalCrossTreadSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 노비스 타일,KS_MetalNovisSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 돌기판,KS_MetalTreadSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 두루스 타일,KS_MetalDovaSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 디지털 타일,KS_MetalDigitalSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 로쿠스 타일,KS_MetalLocusSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 모듈러 타일,KS_MetalModularSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 스파티움 타일,KS_MetalSpatiumSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 아르크스 타일,KS_MetalArxSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 아크리 타일,KS_PreciousAkriSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 200,2800,10,0.2,예,smithing
은 엑소 타일,KS_MetalExoSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 육각 격자,KS_MetalHexaGrateSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 트리곤 타일,KS_MetalTrigonSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 판,KS_MetalIndustrialSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 패드판,KS_MetalPadSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 프레임 타일,KS_MetalFramedSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 100,1100,5,0.6,예,smithing
은 프레임 패드판,KS_MetalFramedPadSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
은 환기판,KS_MetalVentSilver,Flooring Floors,,"Light,Medium,Heavy,Walkable",Silver 70,800,4,0.6,예,smithing
이중 바스켓 위브 파르케,KS_WoodBasketWeaveDouble,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
이중 헤링본 파르케,KS_WoodHerringboneDouble,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
점판암 가로 직조 타일,KS_HStoneBraidedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 10,1500,2,,예,stonecutting
점판암 거친 격자 타일,KS_StoneGridRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 거친 판석,KS_StoneSlabsRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 격자 타일,KS_StoneGridSimpleSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 격자 혼합 타일,KS_StoneSimpleMosaicSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1800,2,,예,stonecutting
점판암 교차 격자 거친 타일,KS_StoneCrosshatchRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 교차 격자 타일,KS_StoneCrosshatchSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 교차 격자 혼합 타일,KS_StoneCrosshatchMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 리본 포장,KS_StoneRibbonSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 모서리 직조 타일,KS_CStoneBraidedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 10,1500,2,,예,stonecutting
점판암 무작위 거친 타일,KS_StoneRandomRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 무작위 거친 혼합 타일,KS_StoneRandomRoughMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 무작위 길이 거친 타일,KS_StoneRandomLengthsRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 무작위 길이 거친 혼합 타일,KS_StoneRandomLengthsRoughMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 무작위 길이 타일,KS_StoneRandomLengthsSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 무작위 길이 혼합 타일,KS_StoneRandomLengthsMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 무작위 타일,KS_StoneRandomSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 무작위 혼합 타일,KS_StoneRandomMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 물고기 비늘 포장,KS_StoneFishScaleSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 바람개비 타일,KS_StonePinwheelSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 바스켓 위브 타일,KS_StoneBasketWeaveSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 세로 직조 타일,KS_VStoneBraidedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 10,1500,2,,예,stonecutting
점판암 소형 격자 혼합 타일,KS_StoneTinySimpleMosaicSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1800,1,,예,stonecutting
점판암 안쪽 모서리 직조 타일,KS_IStoneBraidedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 10,1500,2,,예,stonecutting
점판암 엇갈린 거친 타일,KS_StoneStaggeredRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 엇갈린 거친 혼합 타일,KS_StoneStaggeredRoughMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 엇갈린 타일,KS_StoneStaggeredSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 엇갈린 혼합 타일,KS_StoneStaggeredMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 원형 포장,KS_StoneCircularRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 육각 거친 타일,KS_StoneHexagonRoughSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 육각 거친 혼합 타일,KS_StoneHexagonRoughMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,500,0,,예,stonecutting
점판암 육각 타일,KS_StoneHexagonSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 육각 혼합 타일,KS_StoneHexagonMixedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 이중 마름모 타일,KS_StoneDoubleDiamondSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 20,2100,3,,예,stonecutting
점판암 자갈 포장,KS_StoneGravelSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 2,400,0,,예,stonecutting
점판암 직조 팔각 타일,KS_StoneBraidedOctagonSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 15,1500,2,,예,stonecutting
점판암 질감 판석,KS_StoneSlabsTexturedSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 20,2100,3,,예,stonecutting
점판암 창살 타일,KS_StoneWindowpaneSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 20,2100,3,,예,stonecutting
점판암 체크무늬 타일,KS_StoneChequeredSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 20,1500,3,,예,stonecutting
점판암 판석,KS_StoneSlabsSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 팔각 사각 타일,KS_StoneOctasquareSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
점판암 헤링본 타일,KS_StoneHerringboneSlate,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSlate 4,1100,1,,예,stonecutting
플라스틸 격자,KS_MetalGratePlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 격자판,KS_MetalGratePlatePlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 광택 판,KS_MetalPolishedPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.6,예,smithing
플라스틸 교차 돌기 판,KS_MetalCrossTreadPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 노비스 타일,KS_MetalNovisPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 돌기판,KS_MetalTreadPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 두루스 타일,KS_MetalDurusPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 디지털 타일,KS_MetalDigitalPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 로쿠스 타일,KS_MetalLocusPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 모듈러 타일,KS_MetalModularPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 스파티움 타일,KS_MetalSpatiumPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 아르크스 타일,KS_MetalArxPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 엑소 타일,KS_MetalExoPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 육각 격자,KS_MetalHexaGratePlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 트리곤 타일,KS_MetalTrigonPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 판,KS_MetalIndustrialPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 패드판,KS_MetalPadPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 프레임 타일,KS_MetalFramedPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 10,1100,1,0.6,예,smithing
플라스틸 프레임 패드판,KS_MetalFramedPadPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
플라스틸 환기판,KS_MetalVentPlasteel,Flooring Floors,,"Light,Medium,Heavy,Walkable",Plasteel 7,800,0,0.2,예,smithing
헤링본 파르케,KS_WoodHerringbone,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
혼합 셰브런 파르케,KS_WoodChevronMixed,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
혼합 이중 헤링본 파르케,KS_WoodHerringboneDoubleMixed,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
혼합 헤링본 파르케,KS_WoodHerringboneMixed,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
화강암 가로 직조 타일,KS_HStoneBraidedGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 10,1500,2,,예,stonecutting
화강암 거친 격자 타일,KS_StoneGridRoughGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 2,500,0,,예,stonecutting
화강암 거친 판석,KS_StoneSlabsRoughGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 2,500,0,,예,stonecutting
화강암 격자 타일,KS_StoneGridSimpleGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 4,1100,1,,예,stonecutting
화강암 격자 혼합 타일,KS_StoneSimpleMosaicGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 4,1800,2,,예,stonecutting
화강암 교차 격자 거친 타일,KS_StoneCrosshatchRoughGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 2,500,0,,예,stonecutting
화강암 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 2,500,0,,예,stonecutting
화강암 교차 격자 타일,KS_StoneCrosshatchGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 4,1100,1,,예,stonecutting
화강암 교차 격자 혼합 타일,KS_StoneCrosshatchMixedGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 4,1100,1,,예,stonecutting
화강암 리본 포장,KS_StoneRibbonGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 4,1100,1,,예,stonecutting
화강암 모서리 직조 타일,KS_CStoneBraidedGranite,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksGranite 10,1500,2,,예,stonecutting
