아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
분노의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fury_IV
분노의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fury_V
불꽃의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Flame
불꽃의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Flame_II
불꽃의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Flame_III
불꽃의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Flame_IV
불꽃의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Flame_V
서리의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Frost
서리의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Frost_II
서리의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Frost_III
서리의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Frost_IV
서리의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Frost_V
소형 마나 코어,ISEKAI RPG LEVELING,제작 가능,제련 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_SmallManaCore
소환 서클 스크롤,ISEKAI RPG LEVELING,,,,"궤도 상인 구매, 상인 구매",,,Artifacts,Isekai_SummoningCircleScroll
수호의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Bulwark
수호의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Bulwark_II
수호의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Bulwark_III
수호의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Bulwark_IV
수호의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Bulwark_V
신생의 구체,ISEKAI RPG LEVELING,제작 가능,"기계 작업대, 전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_RespecOrb
신속의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Swiftness
신속의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Swiftness_II
신속의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Swiftness_III
신속의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Swiftness_IV
신속의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Swiftness_V
악당의 가면,ISEKAI RPG LEVELING,,,,,,,Artifacts,Isekai_VillainsMask
안정의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Warding
안정의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Warding_II
안정의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Warding_III
안정의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Warding_IV
안정의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Warding_V
영웅의 각성 스크롤,ISEKAI RPG LEVELING,,,,,,,Artifacts,Isekai_HerosAwakeningScroll
용기의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fortitude
용기의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fortitude_II
용기의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fortitude_III
용기의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fortitude_IV
용기의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Fortitude_V
일반 마나 코어,ISEKAI RPG LEVELING,제작 가능,제련 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_ManaCore
재생의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Regeneration
재생의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Regeneration_II
재생의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Regeneration_III
재생의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Regeneration_IV
재생의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Regeneration_V
저항의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Resistance
저항의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Resistance_II
저항의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Resistance_III
저항의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Resistance_IV
저항의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Resistance_V
정밀의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Precision
정밀의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Precision_II
정밀의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Precision_III
정밀의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Precision_IV
정밀의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Precision_V
천둥의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Thunder
천둥의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Thunder_II
천둥의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Thunder_III
천둥의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Thunder_IV
천둥의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Thunder_V
초대형 마나 코어,ISEKAI RPG LEVELING,제작 가능,제련 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_HugeManaCore
파괴의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Devastation
파괴의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Devastation_II
파괴의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Devastation_III
파괴의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Devastation_IV
파괴의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Devastation_V
혼돈의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Havoc
혼돈의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Havoc_II
혼돈의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Havoc_III
혼돈의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Havoc_IV
혼돈의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Havoc_V
환생의 수정,ISEKAI RPG LEVELING,,,,,,,Artifacts,Isekai_ReincarnationCrystal
활력의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vitality
활력의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vitality_II
활력의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vitality_III
활력의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vitality_IV
활력의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vitality_V
회귀의 구체,ISEKAI RPG LEVELING,,,,,,,Artifacts,Isekai_RegressionOrb
회피의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Evasion
회피의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Evasion_II
회피의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Evasion_III
회피의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Evasion_IV
회피의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Evasion_V
흡혈의 룬 I,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vampirism
흡혈의 룬 II,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vampirism_II
흡혈의 룬 III,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vampirism_III
흡혈의 룬 IV,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vampirism_IV
흡혈의 룬 V,ISEKAI RPG LEVELING,제작 가능,룬 작업대,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Isekai_Rune_Vampirism_V
고급 란제리,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_LuxuryLingerie
고급 팬티,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_LuxuryPanty
제국 마법사 후드,Imperial Attires,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",아이템 사용·개봉: 제국 마법사 후드,,Headgear,CAT_MagusHood
제국 마법사 후드,Imperial Attires,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",아이템 사용·개봉: 제국 마법사 후드,,Headgear,CAT_MagusHoodOpen
제국 무희 상의,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_ImperialDancerTop
제국 무희 하의,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_ImperialDancerBottom
크로스 비키니 상의,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_CrossBikiniTop
크로스 비키니 하의,Imperial Attires,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,,,Apparel,CAT_Apparel_CrossBikiniBottom
항성기사 장교 갑옷,Imperial Attires,제작 가능,조립 작업대,,,,,ApparelArmor,CAT_PrestigeStellicKnightArmor
항성기사 장교 헬멧,Imperial Attires,제작 가능,조립 작업대,,,아이템 사용·개봉: 항성기사 장교 헬멧,,"ApparelArmor, ArmorHeadgear",CAT_PrestigeStellicKnightHelmetOpen
항성기사 장교 헬멧,Imperial Attires,제작 가능,조립 작업대,,,아이템 사용·개봉: 항성기사 장교 헬멧,,ApparelArmor,CAT_PrestigeStellicKnightHelmet
저그 군락유도 페르몬 방출기,MUSC_Zerg Mod,제작 가능,약물 연구대,,,,,Grenades,MUSC_PheromoneGrenade
케라틴 껍질,MUSC_Zerg Mod,,,,"궤도 상인 구매, 도축·분해, 상인 구매, 파괴 시 잔해","설비 기능: 감염된 낙하기, 설비 기능: 야생 저그 해처리, 설비 기능: 저그 부화장, 종족·동물 부산물: 감염된 해병, 종족·동물 부산물: 브루들링, 종족·동물 부산물: 야생 브루들링, 종족·동물 부산물: 야생 울라리, 종족·동물 부산물: 야생 워킹 스커지, 종족·동물 부산물: 야생 저글링, 종족·동물 부산물: 야생 히드라리스크, 종족·동물 부산물: 울라리, 종족·동물 부산물: 워킹 스커지, 종족·동물 부산물: 저글링, 종족·동물 부산물: 히드라리스크",,ResourcesRaw,MUSC_KeratinShell
합성 키틴강,MUSC_Zerg Mod,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,ResourcesRaw,MUSC_SynthChitinsteel
CLSMG,Mechanoids: Total Warfare,제작 가능,기계 작업대,,"궤도 상인 구매, 상인 구매",,,WeaponsRanged,NCL_CLSMG
M9 총검,Mechanoids: Total Warfare,,,,,능력·유전자: Codex_M9Knife,,,MeleeWeapon_M9Knife
NCL5,Mechanoids: Total Warfare,제작 가능,기계 작업대,,"궤도 상인 구매, 상인 구매",,,WeaponsRanged,NCL_Rifle
기갑 공격 전략 코어,Mechanoids: Total Warfare,,,,궤도 상인 구매,"BossgroupDef: ShellFortConstruct, 종족·동물 부산물: 쉘 포트리스",,Manufactured,TW_ArmorBlitzWarfare
기계적 정밀 인터페이스 어레이,Mechanoids: Total Warfare,,,,"궤도 상인 구매, 파괴 시 잔해",설비 기능: 전쟁 신호탄,,Manufactured,TW_Precision_Memory_Interface_Array
레드타이드,Mechanoids: Total Warfare,,,,적 장비 노획,,,WeaponsRanged,NCL_Redtide
메크마스터 메인 스토리라인을 완료해야 합니다.,Mechanoids: Total Warfare,,,,궤도 상인 구매,,,Manufactured,TW_CerebrexCore_Target
불안정한 프로메테우스 코어,Mechanoids: Total Warfare,,,,,종족·동물 부산물: 특별한 기계 웜,,BodyPartsBionic,UnstablePrometheusCore
빨간색 루빅 큐브,Mechanoids: Total Warfare,,,,"궤도 상인 구매, 파괴 시 잔해",설비 기능: 워 스콜피온의 잔해,,Manufactured,NCL_RedCube
센츄리온 아스널 배낭,Mechanoids: Total Warfare,제작 가능,"조립 작업대, 기계 작업대",,,,,ApparelUtility,Centurion_Arsenal_Codex
소형 핵융합로,Mechanoids: Total Warfare,제작 가능,"조립 작업대, 서브코어 부호기",,궤도 상인 구매,,,Manufactured,NCL_Microfusion_Reactor
쉘 스플리터 레이저 나이프,Mechanoids: Total Warfare,,,,적 장비 노획,,,,MeleeWeapon_Shellsplitter
신경망,Mechanoids: Total Warfare,제작 가능,서브코어 부호기,,"궤도 상인 구매, 상인 구매",,,Manufactured,NCL_Neural_Weave
심바이오메쉬,Mechanoids: Total Warfare,제작 가능,"조립 작업대, 기계 작업대",,궤도 상인 구매,,,ApparelUtility,Apparel_NoBody
아이언 커튼 전술 망토,Mechanoids: Total Warfare,제작 가능,"조립 작업대, 기계 작업대",,궤도 상인 구매,,,ApparelUtility,IC_MK3_Tacticloak
어나이힐레이터 와일드파이어,Mechanoids: Total Warfare,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,WeaponsRanged,Annihilator_Wildfire
에너지 효율이 향상된 배터리,Mechanoids: Total Warfare,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,Manufactured,NCL_AdvancedPowerCell
이그드라실 세계수 척추,Mechanoids: Total Warfare,,,,,종족·동물 부산물: 특별한 기계 웜,,BodyPartsBionic,YggdrasilWorldTreeSpine
자발적 사직 보고서,Mechanoids: Total Warfare,,,,,"종족·동물 부산물: 공돌이, 종족·동물 부산물: 낫의 감독관",,Manufactured,Voluntary_Resignation_Letter
전장의 왕,Mechanoids: Total Warfare,제작 가능,조립 작업대,,,,,BodyPartsBionic,NCL_King_of_the_field
전투 연대기: 서브머신건,Mechanoids: Total Warfare,,,,,능력·유전자: Codex_SMG,,WeaponsRanged,Centurion_Arsenal_Codex_SMG
전투 연대기: 저격 소총,Mechanoids: Total Warfare,,,,,능력·유전자: Codex_Sniper,,WeaponsRanged,Centurion_Arsenal_Codex_Sniper
전투 연대기: 차지 라이플,Mechanoids: Total Warfare,,,,,능력·유전자: Codex_Rifle,,WeaponsRanged,Centurion_Arsenal_Codex_Rifle
타이달 재블린,Mechanoids: Total Warfare,,,,,,,WeaponsRanged,TideSurge
태양 사냥꾼 아르테미스의 홍채,Mechanoids: Total Warfare,,,,,종족·동물 부산물: 특별한 기계 웜,,BodyPartsBionic,SolarbaneArtemisLunarOculus
화력 제압 전략 코어,Mechanoids: Total Warfare,,,,궤도 상인 구매,"BossgroupDef: Doxa, 종족·동물 부산물: Doxa-0",,Manufactured,TW_DoxaTacticalCore
활성화된 드롭포드,Mechanoids: Total Warfare,,,,,능력·유전자: SuckerPunch,,,TW_ActiveDropPod
등선형 처리 장치,MedPod,,,,"궤도 상인 구매, 상인 구매",,,Manufactured,IsolinearProcessor
강습 드론: 게부라,Milira Addon: Fianchetto Variation,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milian_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_FunnelBitC
강습 드론: 말쿠트,Milira Addon: Fianchetto Variation,제작 가능,밀리라 드론 인쇄기,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_FunnelBitB
강습 드론: 케테르,Milira Addon: Fianchetto Variation,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milian_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_FunnelBitD
강습 드론: 티페레트,Milira Addon: Fianchetto Variation,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milian_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_FunnelBitE
밀리언 지휘 망토,Milira Addon: Fianchetto Variation,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_ConductorCloakAC
밀리언 지휘 헤드셋,Milira Addon: Fianchetto Variation,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_ConductorHeadSetAC
밀리언 지휘봉,Milira Addon: Fianchetto Variation,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ConductorRod
태양광 격자 피질,Milira Addon: Fianchetto Variation,제작 가능,"밀리라 범용 작업대, 태양 용광로",,궤도 상인 구매,,,Manufactured,Milira_FianchettoChip
고에너지 물질 단위,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,"MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Dawn, MiliraExpandedXY.Drone.Decision.Xml.DroneExecuteModuleDef: ForceDecay, MiliraExpandedXY.Drone.Decision.Xml.DroneExecuteModuleDef: ShootBase_Sky",,Manufactured,MEXY_HighEnergyMatterUnit
공간 접이기 - 시제품,Milira Expanded - Future Technology,제작 가능,밀리라 범용 작업대,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_SpaceFolderPrototype",,Milira_Apparel_Utility,MEXY_Space_Folder_Prototype
공간 접이기 Mk.I,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_SpaceFolderI",,Milira_Apparel_Utility,MEXY_Space_Folder_I
공간 접이기 Mk.II,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_SpaceFolderII",,Milira_Apparel_Utility,MEXY_Space_Folder_II
공간 접이기 Mk.III,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_SpaceFolderIII",,Milira_Apparel_Utility,MEXY_Space_Folder_III
공명 칩,Milira Expanded - Future Technology,제작 가능,입자 구축기,,,"퀘스트·보상: MEXY_Guide_ParticleResonanceImplant, 퀘스트·보상: MEXY_Guide_ResonanceImplantInstalled",,Manufactured,MEXY_ResonanceImplant
과부하 결정,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,"퀘스트·보상: MEXY_Guide_AnnihilationStorm, 퀘스트·보상: MEXY_Guide_AutoDeepVeinBreaker, 퀘스트·보상: MEXY_Guide_CognitiveDelugeRegulator, 퀘스트·보상: MEXY_Guide_FoldedSpaceAccelerator, 퀘스트·보상: MEXY_Guide_OverloadCrystal, 퀘스트·보상: MEXY_Guide_ParticleOverloadCrystal",,Manufactured,MEXY_OverloadCrystal
균열 날,Milira Expanded - Future Technology,제작 가능,입자 구축기,,,"아이템 사용·개봉: 룩스플룸 배열, 퀘스트·보상: MEXY_Guide_RiftEdge",,WeaponsMelee,MEXY_RiftEdge
기적 결정,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,"아이템 사용·개봉: 에이돌론 인장, 퀘스트·보상: MEXY_Guide_BioCultivationDays, 퀘스트·보상: MEXY_Guide_EssencePodHealing, 퀘스트·보상: MEXY_Guide_EssencePodResurrection, 퀘스트·보상: MEXY_Guide_GeneCultivation, 퀘스트·보상: MEXY_Guide_GeneExtractionAchievement, 퀘스트·보상: MEXY_Guide_MiracleCrystal, 퀘스트·보상: MEXY_Guide_ParticleMiracleCrystal, ",,Manufactured,MEXY_MiracleCrystal
드론 탑재 장구 I,Milira Expanded - Future Technology,제작 가능,밀리라 드론 인쇄기,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_DroneCarrierI",,Milira_Apparel_Utility,MEXY_DroneCarrierApparel_TierOne
드론 탑재 장구 II,Milira Expanded - Future Technology,제작 가능,입자 구축기,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_DroneCarrierII",,Milira_Apparel_Utility,MEXY_DroneCarrierApparel_TierTwo
드론 탑재 장구 III,Milira Expanded - Future Technology,제작 가능,입자 구축기,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_DroneCarrierIII",,Milira_Apparel_Utility,MEXY_DroneCarrierApparel_TierThree
룩스플룸 배열,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 룩스플룸 배열 시제품, 퀘스트·보상: MEXY_Guide_LuxplumeArray",,Milira_Apparel_Utility,MEXY_Luxplume_Array
룩스플룸 배열 시제품,Milira Expanded - Future Technology,제작 가능,밀리라 범용 작업대,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_LuxplumeArrayPrototype",,Milira_Apparel_Utility,MEXY_Luxplume_Array_Prototype
배양된 이종유전자,Milira Expanded - Future Technology,,,,궤도 상인 구매,,,ItemsMisc,MEXY_CultivatedXenogerm
사이오닉 조율기,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 사이오닉 조율기 시제품, 퀘스트·보상: MEXY_Guide_PsyonicTuner",,Milira_Apparel_Utility,MEXY_Psyonic_Tuner
사이오닉 조율기 시제품,Milira Expanded - Future Technology,제작 가능,밀리라 범용 작업대,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_PsyonicTunerPrototype",,Milira_Apparel_Utility,MEXY_Psyonic_Tuner_Prototype
