방/갑판,건물,defName,모드,x(좌상),y(좌상),가로,세로,작업칸,전력(W),연결 설비 수,연결 보너스
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,38,63,2,1,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,40,63,2,1,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,42,63,2,1,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,44,63,1,2,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,25,65,1,2,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,43,65,2,1,,0.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,43,66,2,1,,0.0,,
무기고,산소 펌프,OxygenPump,Odyssey DLC,25,73,1,1,,-150.0,,
무기고,산소 펌프,OxygenPump,Odyssey DLC,27,74,1,1,,-150.0,,
무기고,수리 선반,Shelf_RepairRack,Vanilla Furniture Expanded - Spacer Module,32,63,1,1,,-750.0,,
무기고,수리 선반,Shelf_RepairRack,Vanilla Furniture Expanded - Spacer Module,33,63,1,1,,-750.0,,
무기고,수리 선반,Shelf_RepairRack,Vanilla Furniture Expanded - Spacer Module,34,63,1,1,,-750.0,,
무기고,수리 선반,Shelf_RepairRack,Vanilla Furniture Expanded - Spacer Module,35,63,1,1,,-750.0,,
무기고,제련 작업대,Isekai_Forge,ISEKAI RPG LEVELING,28,63,3,1,"29,64",0.0,,
밀리라 작업실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,96,95,2,2,,0.0,,
밀리라 작업실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,91,93,5,5,,0.0,,
밀리라 작업실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,79,96,5,5,,0.0,,
밀리라 작업실,물질 분해기,MiliraExpandedXY_MatterDecomposer,Milira Expanded - Future Technology,82,93,3,2,"83,95",-750.0,,
밀리라 작업실,물질 재조합기,MiliraExpandedXY_MatterRecomposer,Milira Expanded - Future Technology,89,93,2,3,"88,94",-900.0,,
밀리라 작업실,밀리라 드론 인쇄기,Milira_DroneBench,Milira Race,92,111,1,1,"92,110",-120.0,1,작업 속도 계수 +320%
밀리라 작업실,밀리라 범용 작업대,Milira_UniversalBench,Milira Race,97,109,1,2,"96,110",-360.0,1,작업 속도 계수 +320%
밀리라 작업실,밀리라 중력 직조기,Milira_GravityLoom,Milira Faction: Milira Imperium,89,109,3,3,"90,108",-20000.0,4,작업 속도 계수 +320%
밀리라 작업실,밀리언 충전기,Milian_Recharger,Milira Race,79,95,1,1,,-240.0,,
밀리라 작업실,밀리언 충전기,Milian_Recharger,Milira Race,97,97,1,1,,-240.0,,
밀리라 작업실,보조 복제기,Milira_AuxiliaryReplicator,Milira Faction: Milira Imperium,93,110,2,2,,0.0,,
밀리라 작업실,산소 펌프,OxygenPump,Odyssey DLC,82,110,1,1,,-150.0,,
밀리라 작업실,산소 펌프,OxygenPump,Odyssey DLC,86,110,1,1,,-150.0,,
밀리라 작업실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,97,93,1,1,,0.0,,
밀리라 작업실,암흑 물질 구속기,MI_Building_DarkMatterConstrainer,Milira Faction: Milira Imperium,95,106,3,3,,-40000.0,,
밀리라 작업실,암흑 물질 축전지,Milira_DarkMatterBattery,Milira Faction: Milira Imperium,97,111,1,1,,5000.0,,
밀리라 작업실,암흑 물질 축전지,Milira_DarkMatterBattery,Milira Faction: Milira Imperium,86,109,1,1,,5000.0,,
밀리라 작업실,암흑 물질 축전지,Milira_DarkMatterBattery,Milira Faction: Milira Imperium,96,109,1,1,,5000.0,,
밀리라 작업실,암흑 물질 축전지,Milira_DarkMatterBattery,Milira Faction: Milira Imperium,95,111,1,1,,5000.0,,
밀리라 작업실,입자 구축기,MEXY_ParticleConstructor,Milira Expanded - Future Technology,79,93,3,2,"80,95",-300.0,,
밀리라 작업실,장막 수정 재배기,MI_Building_PsyChicCrystal,Milira Faction: Milira Imperium,79,106,3,3,,-20000.0,,
밀리라 작업실,태양 수정 재배기,Milira_SolarCrystalGrowBox,Milira Faction: Milira Imperium,79,103,3,3,,-2000.0,,
밀리라 작업실,태양 수정 재배기,Milira_SolarCrystalGrowBox,Milira Faction: Milira Imperium,95,103,3,3,,-2000.0,,
밀리라 작업실,태양 용광로,Milira_SunBlastFurnace,Milira Race,95,99,3,2,"96,98",0.0,4,작업 속도 계수 +40%
밀리라 작업실,태양 용광로 가속기,Milira_SunBlasterBoosterJar,Milira Race,96,97,1,1,,0.0,,
밀리라 작업실,태양 용광로 가속기,Milira_SunBlasterBoosterJar,Milira Race,90,96,1,1,,0.0,,
밀리라 작업실,태양 용광로 가속기,Milira_SunBlasterBoosterJar,Milira Race,89,96,1,1,,0.0,,
밀리라 작업실,태양 용광로 가속기,Milira_SunBlasterBoosterJar,Milira Race,90,97,1,1,,0.0,,
밀리라 작업실,태양꽃 열매 재배기,Milira_SunLightFruitGrowBox,Milira Faction: Milira Imperium,85,93,1,1,,-100.0,,
밀리라 작업실,태양꽃 열매 재배기,Milira_SunLightFruitGrowBox,Milira Faction: Milira Imperium,96,93,1,1,,-100.0,,
밀리라 작업실,토양 수경재배 상자,Milira_Soilponics,Milira Faction: Milira Imperium,79,109,3,3,,-2000.0,,
밀리라 작업실,토양 수경재배 상자,Milira_Soilponics,Milira Faction: Milira Imperium,83,109,3,3,,-2000.0,,
반응로실,산소 펌프,OxygenPump,Odyssey DLC,64,87,1,1,,-150.0,,
반응로실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,63,76,1,1,,0.0,,
반응로실,특이점 반응로,AdvShip_GravReactor,GravTech,64,79,5,5,,500000.0,,
반응로실,특이점 반응로,AdvShip_GravReactor,GravTech,72,79,5,5,,500000.0,,
반응로실 2,산소 펌프,OxygenPump,Odyssey DLC,88,87,1,1,,-150.0,,
반응로실 2,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,87,76,1,1,,0.0,,
반응로실 2,특이점 반응로,AdvShip_GravReactor,GravTech,90,79,5,5,,500000.0,,
방어 설비실,고급 보호막 생성기,AdvShip_ShieldGenerator,GravTech,145,1,3,3,,-1100.0,,
방어 설비실,산소 펌프,OxygenPump,Odyssey DLC,145,11,1,1,,-150.0,,
방어 설비실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,148,1,1,1,,0.0,,
방어 설비실,중력장 확장기,GravFieldExtender,Odyssey DLC,150,10,1,1,,0.0,,
방어 진입 갑판,"""템페스트"" 아크 방출기",MI_Building_ArcEmitter,Milira Faction: Milira Imperium,151,101,5,5,,0.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,153,90,1,1,,-1000.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,154,94,1,1,,-1000.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,156,103,1,1,,-1000.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,109,1,1,,-1000.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,151,106,1,1,,-1000.0,,
방어 진입 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,151,109,1,1,,-1000.0,,
방어 진입 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,152,106,2,2,,-1050.0,,
방어 진입 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,152,108,2,2,,-1050.0,,
방어 진입 갑판,승강식 유탄포,CMC_ReinforcedBunkerAGS_R,CeleTech Arsenal MKIII,154,106,3,3,,-200.0,,
방어 진입 갑판,승강식 중기관총 벙커,CMC_ReinforcedBunker,CeleTech Arsenal MKIII,152,91,3,3,,-200.0,,
방어 진입 갑판,초중량 기관포 포탑,BrrtTurret,Brrrt,152,95,5,5,,-3000.0,,
북동 포대 갑판,HPJ-06 45mm 전자기포,CMC_EMcannon,CeleTech Arsenal MKIII,142,-13,3,3,,-1500.0,,
북동 포대 갑판,복제된 역장 발생기,PLAMilira_Field_Tower_Player,Milira:Wings of Democracy,116,-3,3,3,,0.0,,
북동 포대 갑판,사격 통제 레이더,CMC_FCradar,CeleTech Arsenal MKIII,133,-5,2,2,,-200.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,113,-13,1,1,,-1000.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,128,-12,1,1,,-1000.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,133,-15,1,1,,-1000.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,145,-12,1,1,,-1000.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,-12,1,1,,-1000.0,,
북동 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,150,-6,1,1,,-1000.0,,
북동 포대 갑판,승강식 기관포,CMC_ReinforcedBunker_R,CeleTech Arsenal MKIII,125,-13,3,3,,-200.0,,
북동 포대 갑판,승강식 기관포,CMC_ReinforcedBunker_R,CeleTech Arsenal MKIII,149,-5,3,3,,-200.0,,
북동 포대 갑판,전자기 근접방어 체계,CMCcannon_BF,CeleTech Arsenal MKIII,131,-14,5,5,,-1050.0,,
북동 포대 갑판,중량급 미사일 발사탑,CMCML,CeleTech Arsenal MKIII,114,-14,3,3,,-3300.0,,
북동 포대 갑판,태양 에너지 수집/레이저 포탑,Milira_SunLightDefenceTowerII,Milira Faction: Milira Imperium,152,-13,3,3,,30.0,,
북서 격납 갑판,궤도 탐지기,OrbitalScanner,Odyssey DLC,0,1,2,2,,-500.0,,
북서 격납 갑판,레이저 포인트 방어 포탑,NCL_LaserDefenceTurret,Mechanoids: Total Warfare,9,3,2,2,,-150.0,,
북서 격납 갑판,레이저 포인트 방어 포탑,NCL_LaserDefenceTurret,Mechanoids: Total Warfare,19,10,2,2,,-150.0,,
북서 격납 갑판,밀리라 에테르 드레이크 전투기,Milira_DragonFighter,Milira Faction: Milira Imperium,-1,4,5,5,"1,3",0.0,,
북서 격납 갑판,밀리라 에테르 드레이크 전투기,Milira_DragonFighter,Milira Faction: Milira Imperium,7,9,5,5,"9,8",0.0,,
북서 격납 갑판,밀리라 와이번 전투기,Milira_WyvernFighter,Milira Faction: Milira Imperium,28,2,5,5,"30,1",0.0,,
북서 격납 갑판,밀리라 와이번 전투기,Milira_WyvernFighter,Milira Faction: Milira Imperium,28,9,5,5,"30,8",0.0,,
북서 격납 갑판,복제된 역장 발생기,PLAMilira_Field_Tower_Player,Milira:Wings of Democracy,39,3,3,3,,0.0,,
북서 격납 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,19,6,1,1,,-1000.0,,
북서 격납 갑판,아주르 앵커,AT_RecallStation,Silversol's Azurtrail,4,1,1,1,,0.0,,
북서 격납 갑판,양자 통신탑,CMC_CommTower,CeleTech Arsenal MKIII,2,1,2,2,,-1000.0,,
북서 격납 갑판,장거리 광물 탐색기,LongRangeMineralScanner,코어,-6,1,3,3,"-5,4",-700.0,,
북서 격납 갑판,지면 투과 탐색기,GroundPenetratingScanner,코어,-3,1,3,3,"-2,4",-700.0,,
북서 격납 갑판,태양 에너지 변환 포집탑,Milira_SunLightGatheringTower,Milira Race,-2,10,3,3,,30.0,,
북서 격납 갑판,태양 에너지 수집/레이저 포탑,Milira_SunLightDefenceTowerII,Milira Faction: Milira Imperium,18,3,3,3,,30.0,,
북서 격납 갑판,태양광 반사판,Milira_Heliostat,Milira Race,-5,11,1,1,,0.0,,
북서 격납 갑판,태양광 반사판,Milira_Heliostat,Milira Race,3,11,1,1,,0.0,,
북서 격납 갑판,태양광 반사판,Milira_Heliostat,Milira Race,-1,15,1,1,,0.0,,
북서 격납 갑판,태양광 반사판,Milira_Heliostat,Milira Race,-2,7,1,1,,0.0,,
북서 격납 갑판,포뮬러 콘솔,GHFomulaConsole,Silversol's Stormmarina,5,1,1,1,,0.0,,
북서 격납 갑판,하이튠 콘솔,GHTuningConsole,Silversol's Stormmarina,6,1,1,1,,0.0,,
북서 포대 갑판,복제된 역장 발생기,PLAMilira_Field_Tower_Player,Milira:Wings of Democracy,24,-14,3,3,,0.0,,
북서 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,10,-15,1,1,,-1000.0,,
북서 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,19,-15,1,1,,-1000.0,,
북서 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,37,-13,1,1,,-1000.0,,
북서 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,17,-6,1,1,,-1000.0,,
북서 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,29,-9,1,1,,-1000.0,,
북서 포대 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,18,-14,2,2,,-1050.0,,
북서 포대 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,29,-8,2,2,,-1050.0,,
북서 포대 갑판,전자기 근접방어 체계,CMCcannon_BF,CeleTech Arsenal MKIII,32,-15,5,5,,-1050.0,,
북서 포대 갑판,중량급 미사일 발사탑,CMCML,CeleTech Arsenal MKIII,7,-16,3,3,,-3300.0,,
북서 포대 갑판,태양 에너지 수집/레이저 포탑,Milira_SunLightDefenceTowerII,Milira Faction: Milira Imperium,14,-7,3,3,,30.0,,
북측 경비실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,150,41,2,2,,0.0,,
북측 경비실,밀리언 충전기,Milian_Recharger,Milira Race,145,30,1,1,,-240.0,,
북측 경비실,밀리언 충전기,Milian_Recharger,Milira Race,146,30,1,1,,-240.0,,
북측 경비실,산소 펌프,OxygenPump,Odyssey DLC,150,30,1,1,,-150.0,,
북측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,148,42,1,1,,-1000.0,,
북측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,151,43,1,1,,-1000.0,,
북측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,148,36,1,1,,-1000.0,,
북측 경비실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,147,30,1,1,,0.0,,
북측 경비실,승강식 화염방사 벙커,CMC_ReinforcedBunker_Fire,CeleTech Arsenal MKIII,145,41,3,3,,-720.0,,
북측 경비실,엄폐물,Barricade,코어,146,39,1,1,,0.0,,
북측 경비실,엄폐물,Barricade,코어,148,39,1,1,,0.0,,
북측 경비실,엄폐물,Barricade,코어,150,39,1,1,,0.0,,
북측 경비실,플라즈마 근접 방어 체계,MiliraImperiumTurret_PointDefense,Milira Faction: Milira Imperium,147,33,3,3,,0.0,,
북측 에어록 1,산소 펌프,OxygenPump,Odyssey DLC,40,-9,1,1,,-150.0,,
북측 에어록 2,산소 펌프,OxygenPump,Odyssey DLC,99,-5,1,1,,-150.0,,
북측 전실,산소 펌프,OxygenPump,Odyssey DLC,46,-3,1,1,,-150.0,,
북측 포대 갑판,HPJ-06 45mm 전자기포,CMC_EMcannon,CeleTech Arsenal MKIII,91,-11,3,3,,-1500.0,,
북측 포대 갑판,HPJ-06 45mm 전자기포,CMC_EMcannon,CeleTech Arsenal MKIII,91,2,3,3,,-1500.0,,
북측 포대 갑판,복제된 역장 발생기,PLAMilira_Field_Tower_Player,Milira:Wings of Democracy,79,2,3,3,,0.0,,
북측 포대 갑판,불안정한 반응로,Milira_UnstableReactor,Milira Race,50,-16,1,1,,0.0,,
북측 포대 갑판,사격 통제 레이더,CMC_FCradar,CeleTech Arsenal MKIII,80,-11,2,2,,-200.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,61,-10,1,1,,-1000.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,70,-9,1,1,,-1000.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,94,-10,1,1,,-1000.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,56,1,1,1,,-1000.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,68,1,1,1,,-1000.0,,
북측 포대 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,94,3,1,1,,-1000.0,,
북측 포대 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,69,-11,2,2,,-1050.0,,
북측 포대 갑판,스마트 저격 포탑,CMC_Svcannon,CeleTech Arsenal MKIII,68,2,2,2,,-1050.0,,
북측 포대 갑판,중량급 미사일 발사탑,CMCML,CeleTech Arsenal MKIII,58,-11,3,3,,-3300.0,,
북측 포대 갑판,태양 에너지 수집/레이저 포탑,Milira_SunLightDefenceTowerII,Milira Faction: Milira Imperium,55,2,3,3,,30.0,,
생체강 가공실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,138,39,1,1,,-435.0,,
생체강 가공실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,139,39,1,1,,-435.0,,
생체강 가공실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,140,38,1,2,,-300.0,,
생체강 가공실,공업 선반,HobbesLink_Lathe,Even More Linkables Reupload,143,38,1,2,,-300.0,,
생체강 가공실,과학자 캐비닛,ToolCabinetC,More Linkables,143,40,1,2,,-250.0,,
생체강 가공실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,131,41,1,2,,0.0,,
생체강 가공실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,131,39,1,2,,0.0,,
생체강 가공실,기계 캐비닛,ToolCabinetB,More Linkables,142,38,1,2,,0.0,,
생체강 가공실,도구 수납장,ToolCabinet,코어,139,43,1,2,,0.0,,
생체강 가공실,바이스,HobbesLink_Vice,Even More Linkables Reupload,142,40,1,1,,0.0,,
생체강 가공실,바이스,HobbesLink_Vice,Even More Linkables Reupload,138,44,1,1,,0.0,,
생체강 가공실,산소 펌프,OxygenPump,Odyssey DLC,131,43,1,1,,-150.0,,
생체강 가공실,산업용 오븐,HobbesLink_IndustrialOven,Even More Linkables Reupload,138,41,1,1,,-75.0,,
생체강 가공실,생체강 발전기,BioferriteGenerator,Anomaly DLC,131,30,3,2,,4000.0,,
생체강 가공실,생체강 성형 작업대,BioferriteShaper,Anomaly DLC,138,40,3,1,"139,41",-250.0,17,작업 속도 계수 +375%
생체강 가공실,소각로,HobbesLink_Incinerator,Even More Linkables Reupload,141,43,2,2,,-25.0,,
생체강 가공실,우주 시대 선반,HobbesLink_Spacer_Lathe,Even More Linkables Reupload,143,42,1,3,,-600.0,,
생체강 가공실,원심분리기,HobbesLink_Centrifuge,Even More Linkables Reupload,138,43,1,1,,-25.0,,
생체강 가공실,컨베이어 벨트,HobbesLink_ConveyorBelt,Even More Linkables Reupload,141,38,1,3,,-25.0,,
생체강 가공실,향상된 캐비닛,ToolCabinetA,More Linkables,140,43,1,2,,0.0,,
서쪽 외곽 1,산소 펌프,OxygenPump,Odyssey DLC,-5,-9,1,1,,-150.0,,
서쪽 외곽 2,산소 펌프,OxygenPump,Odyssey DLC,-5,23,1,1,,-150.0,,
서쪽 외곽 3,산소 펌프,OxygenPump,Odyssey DLC,-5,46,1,1,,-150.0,,
서쪽 외곽 4,산소 펌프,OxygenPump,Odyssey DLC,-5,56,1,1,,-150.0,,
서쪽 외곽 5,산소 펌프,OxygenPump,Odyssey DLC,-5,91,1,1,,-150.0,,
성장 배양실,산소 펌프,OxygenPump,Odyssey DLC,136,51,1,1,,-150.0,,
성장 배양실,생체 배양 모듈,MEXY_BioCultivationModule,Milira Expanded - Future Technology,139,50,2,2,"138,50",-600.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,142,50,2,1,"141,50",-200.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,143,51,1,2,"143,53",-200.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,133,52,1,2,"133,54",-200.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,143,54,1,2,"143,53",-200.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,133,55,1,2,"133,54",-200.0,,
성장 배양실,성장 배양기,GrowthVat,Biotech DLC,135,56,2,1,"134,56",-200.0,,
성장 배양실,정수 배양 포드,MEXY_EssenceCultivationPod,Milira Expanded - Future Technology,133,50,3,2,"134,52",-900.0,,
세로 통로 1,산소 펌프,OxygenPump,Odyssey DLC,48,6,1,1,,-150.0,,
세로 통로 1,산소 펌프,OxygenPump,Odyssey DLC,48,102,1,1,,-150.0,,
세로 통로 1,전열 파일런,HeaterPylon_GT,GravTech,46,30,1,1,,30.0,,
세로 통로 1,전열 파일런,HeaterPylon_GT,GravTech,47,97,1,1,,30.0,,
세로 통로 2,산소 펌프,OxygenPump,Odyssey DLC,101,7,1,1,,-150.0,,
세로 통로 2,산소 펌프,OxygenPump,Odyssey DLC,99,102,1,1,,-150.0,,
세로 통로 2,전열 파일런,HeaterPylon_GT,GravTech,101,30,1,1,,30.0,,
세로 통로 2,전열 파일런,HeaterPylon_GT,GravTech,101,97,1,1,,30.0,,
수감 홀,산소 펌프,OxygenPump,Odyssey DLC,115,74,1,1,,-150.0,,
수감 홀,산소 펌프,OxygenPump,Odyssey DLC,117,75,1,1,,-150.0,,
수감 홀,침대,Bed,코어,115,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,117,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,118,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,119,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,120,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,121,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,122,62,1,2,,0.0,,
수감 홀,침대,Bed,코어,125,62,1,2,,0.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,1,23,3,3,"2,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,1,27,3,3,"2,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,1,31,3,3,"2,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,1,35,3,3,"2,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,4,23,3,3,"5,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,4,27,3,3,"5,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,4,31,3,3,"5,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,4,35,3,3,"5,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,7,23,3,3,"8,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,7,27,3,3,"8,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,7,31,3,3,"8,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,7,35,3,3,"8,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,11,23,3,3,"12,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,11,27,3,3,"12,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,11,31,3,3,"12,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,11,35,3,3,"12,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,14,23,3,3,"15,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,14,27,3,3,"15,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,14,31,3,3,"15,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,14,35,3,3,"15,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,17,23,3,3,"18,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,17,27,3,3,"18,26",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,17,31,3,3,"18,34",-1600.0,,
수경 농장,대형 자동 수경재배기,AutoHydroponic,Automatic Hydroponics,17,35,3,3,"18,34",-1600.0,,
수경 농장,산소 펌프,OxygenPump,Odyssey DLC,10,24,1,1,,-150.0,,
수경 농장,산소 펌프,OxygenPump,Odyssey DLC,19,26,1,1,,-150.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,26,24,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,30,24,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,34,24,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,38,24,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,42,24,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,26,28,3,3,,-500.0,,
수족관,대형 바닥 수족관,FMAquariumL,Floor-Mounted Aquarium,30,28,3,3,,-500.0,,
수족관,산소 펌프,OxygenPump,Odyssey DLC,26,23,1,1,,-150.0,,
수족관,유프라테스 포플러,Milira_Euphratespoplar,Milira Faction: Milira Imperium,43,28,2,2,,-400.0,,
시체·부산물 가공실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,111,75,1,2,,-300.0,,
시체·부산물 가공실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,103,79,1,2,,-300.0,,
시체·부산물 가공실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,113,80,1,2,,-300.0,,
시체·부산물 가공실,과학자 캐비닛,ToolCabinetC,More Linkables,107,79,1,2,,-250.0,,
시체·부산물 가공실,기계 캐비닛,ToolCabinetB,More Linkables,110,80,2,1,,0.0,,
시체·부산물 가공실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,103,73,5,5,,0.0,,
시체·부산물 가공실,도구 수납장,ToolCabinet,코어,110,84,2,1,,0.0,,
시체·부산물 가공실,도축 작업대,TableButcher,코어,104,70,1,3,"103,71",0.0,2,작업 속도 계수 +15%
시체·부산물 가공실,바이스,HobbesLink_Vice,Even More Linkables Reupload,113,79,1,1,,0.0,,
시체·부산물 가공실,바이스,HobbesLink_Vice,Even More Linkables Reupload,110,73,1,1,,0.0,,
